P(y* = 0),p,y
0.954353799,0.04564620063,0
0.991899764,0.00810023602,0
0.955391203,0.04460879748,0
0.999986185,0.00001381547,0
0.999431103,0.00056889652,0
0.994291612,0.00570838798,0
0.964504847,0.03549515254,0
0.978422244,0.02157775553,0
0.989929865,0.01007013488,0
0.999970505,0.00002949485,0
0.999999933,0.00000006730,0
0.992253258,0.00774674208,0
0.999863317,0.00013668297,0
0.982566546,0.01743345370,0
0.999953372,0.00004662750,0
0.993782424,0.00621757604,0
0.999851028,0.00014897217,0
0.978243731,0.02175626927,0
0.990257144,0.00974285628,0
0.976822817,0.02317718263,0
0.997454554,0.00254544576,0
0.999909269,0.00009073140,0
0.998919584,0.00108041598,0
0.701019124,0.29898087625,0
0.988809756,0.01119024382,0
0.778769303,0.22123069663,0
0.995207767,0.00479223323,0
0.99868461,0.00131539025,0
0.999815582,0.00018441805,0
0.901087834,0.09891216601,0
0.998952317,0.00104768284,0
0.715968416,0.28403158353,0
0.99946495,0.00053504992,0
0.986742071,0.01325792916,0
0.995808329,0.00419167064,0
0.998457292,0.00154270837,0
0.996721191,0.00327880862,0
0.988301361,0.01169863948,0
0.99385322,0.00614677997,0
0.996348967,0.00365103258,0
0.978159583,0.02184041690,0
0.999159086,0.00084091355,0
0.999487328,0.00051267159,0
0.999714085,0.00028591520,0
0.99992368,0.00007632008,0
0.999981148,0.00001885219,0
0.999800587,0.00019941297,0
0.924250928,0.07574907168,0
0.995265826,0.00473417417,0
0.993358415,0.00664158509,0
0.925398874,0.07460112563,0
0.999950867,0.00004913300,0
0.996631887,0.00336811291,0
0.999966085,0.00003391509,0
0.999714019,0.00028598069,0
0.999900592,0.00009940802,0
0.997191137,0.00280886275,0
0.99811576,0.00188424007,0
0.999684514,0.00031548619,0
0.999967592,0.00003240781,0
0.993023337,0.00697666336,0
0.990030641,0.00996935862,0
0.998902562,0.00109743828,0
0.98746505,0.01253495044,0
0.99865929,0.00134071017,0
0.999938549,0.00006145121,0
0.999976549,0.00002345118,0
0.999674097,0.00032590288,0
0.999215624,0.00078437587,0
0.999622269,0.00037773144,0
0.998228222,0.00177177770,0
0.99004293,0.00995707039,0
0.999751918,0.00024808178,0
0.999766884,0.00023311559,0
0.999230356,0.00076964384,0
0.999987694,0.00001230581,0
0.995359375,0.00464062454,0
0.999994645,0.00000535500,0
0.999412355,0.00058764540,0
0.99996479,0.00003520966,0
0.998700547,0.00129945344,0
0.997732929,0.00226707094,0
0.98982082,0.01017917990,0
0.999989476,0.00001052386,0
0.999986089,0.00001391127,0
0.999667919,0.00033208071,0
0.953888807,0.04611119260,0
0.828848182,0.17115181828,0
0.383316164,0.61668383595,1
0.999968458,0.00003154174,0
0.999998392,0.00000160793,0
0.99875502,0.00124497958,0
0.999894961,0.00010503934,0
0.997118455,0.00288154525,0
0.998710548,0.00128945170,0
0.995406457,0.00459354344,0
0.998678728,0.00132127217,0
0.999998814,0.00000118611,0
0.557243556,0.44275644351,0
0.9996939,0.00030609955,0
0.999834997,0.00016500281,0
0.999662559,0.00033744127,0
0.996818485,0.00318151459,0
0.991366083,0.00863391678,0
0.99981357,0.00018643017,0
0.999798623,0.00020137680,0
0.99793206,0.00206793953,0
0.999979486,0.00002051410,0
0.996473788,0.00352621179,0
0.983962669,0.01603733111,0
0.991432391,0.00856760902,0
0.835884791,0.16411520881,0
0.99981643,0.00018356964,0
0.992091166,0.00790883398,0
0.993607477,0.00639252275,0
0.999891262,0.00010873816,0
0.90636579,0.09363421002,0
0.998220672,0.00177932827,0
0.999941002,0.00005899831,0
0.806691908,0.19330809211,0
0.99716523,0.00283477016,0
0.999494241,0.00050575882,0
0.999991764,0.00000823616,0
0.999962916,0.00003708365,0
0.999919008,0.00008099168,0
0.999961104,0.00003889598,0
0.999563881,0.00043611852,0
0.999445761,0.00055423851,0
0.996352848,0.00364715206,0
0.956914996,0.04308500358,0
0.99995476,0.00004523976,0
0.979640562,0.02035943802,0
0.999151729,0.00084827098,0
0.987451201,0.01254879906,0
0.999500931,0.00049906860,0
